link;Si;No
63570101;95;5
63570102;95;5
63570103;93;7
63570104;95;5
63570105;95;5
63570106;95;5
63570107;95;5
63570108;96;4
63570109;95;5
63570201;96;4
63570202;93;7
63570203;95;5
63570204;93;7
63570205;96;4
63570206;95;5
63570207;97;3
63570208;97;3
63570209;97;3
63570210;96;4
63570301;96;4
63570302;93;7
63570303;97;3
63570304;94;6
63570305;96;4
63570306;96;4
63570307;97;3
63570308;96;4
63570309;96;4
63570310;96;4
63570311;95;5
63570401;96;4
63570402;97;3
63570403;97;3
63570404;96;4
63570405;96;4
63570406;96;4
63570407;96;4
63570408;95;5
63570409;96;4
63570410;97;3
63570501;96;4
63570502;95;5
63570503;97;3
63570504;96;4
63570505;97;3
63570506;96;4
63570507;96;4
63570508;98;2
63570509;96;4
63570510;97;3
63570511;97;3
63570512;96;4
63570513;98;2
63570514;94;6
63570601;94;6
63570602;96;4
63570603;95;5
63570604;95;5
63570605;95;5
63570606;95;5
63570607;97;3
63570608;93;7
63570609;96;4
63570610;96;4
63570611;96;4
63570701;96;4
63570702;96;4
63570703;95;5
63570704;94;6
63570705;95;5
63570706;95;5
63570707;95;5
63570708;95;5
63570709;95;5
63570710;93;7
63570711;91;9
63570801;94;6
63570802;94;6
63570803;95;5
63570804;94;6
63570805;95;5
63570806;96;4
63570807;95;5
63570808;97;3
63570809;96;4
63570810;94;6
63570811;96;4
63570812;96;4
63570813;90;10
63570814;97;3
63570901;93;7
63570902;90;10
63570903;91;9
63570904;93;7
63570905;92;8
63570906;93;7
63570907;91;9
63570908;91;9
63570909;92;8
63570910;94;6
63570911;95;5
63570912;95;5
63570913;95;5
63571001;97;3
63571002;94;6
63571003;94;6
63571004;91;9
63571005;91;9
63571006;94;6
63571007;90;10
63571008;92;8
63571009;94;6
63571010;93;7
63571011;94;6
63571012;93;7
63571013;93;7
63571014;94;6
63571015;96;4
63571101;94;6
63571102;93;7
63571103;93;7
63571104;93;7
63571105;91;9
63571106;91;9
63571107;91;9
63571108;94;6
63571109;95;5
63571110;94;6
63571111;95;5
63571112;93;7
63571201;93;7
63571202;96;4
63571203;96;4
63571204;94;6
63571205;96;4
63571206;96;4
63571207;93;7
63571208;90;10
63571209;93;7
63571210;91;9
63571211;87;13
63571212;93;7
63571213;94;6
63571214;96;4
63571215;91;9
63571301;96;4
63571302;96;4
63571303;96;4
63571304;96;4
63571305;95;5
63571306;94;6
63571307;94;6
63571308;94;6
63571309;95;5
63571401;97;3
63571402;95;5
63571403;95;5
63571404;97;3
63571405;96;4
63571406;96;4
63571407;96;4
63571408;95;5
63571409;96;4
63571501;94;6
63571502;99;1
63571503;97;3
63571504;97;3
63571505;97;3
63571506;95;5
63571507;97;3
63571508;95;5
63571509;96;4
63571510;97;3
63571511;95;5
63571601;96;4
63571602;97;3
63571603;97;3
63571604;97;3
63571605;95;5
63571606;95;5
63571607;97;3
63571608;98;2
63571609;98;2
63571610;97;3
63571611;98;2
63571612;97;3
63571613;96;4
63571701;96;4
63571702;98;2
63571703;96;4
63571704;95;5
63571705;94;6
63571706;96;4
63571707;95;5
63571708;94;6
63571709;96;4
63571710;95;5
63571801;96;4
63571802;97;3
63571803;97;3
63571804;96;4
63571805;96;4
63571806;96;4
63571807;97;3
63571808;97;3
63571809;97;3
63571810;97;3
63571901;98;2
63571902;96;4
63571903;98;2
63571904;99;1
63571905;98;2
63571906;99;1
63571907;98;2
63571908;98;2
63571909;95;5
63571910;97;3
63571911;97;3
63572001;95;5
63572002;97;3
63572003;96;4
63572004;98;2
63572005;99;1
63572006;98;2
63572007;97;3
63572008;99;1
63572009;97;3
63572101;98;2
63572102;97;3
63572103;98;2
63572104;97;3
63572105;97;3
63572106;98;2
63572107;98;2
63572108;99;1
63572201;97;3
63572202;99;1
63572203;97;3
63572204;96;4
63572205;98;2
63572206;97;3
63572207;98;2
63572208;97;3
63572209;97;3
63572210;98;2
63572211;96;4
63572212;98;2
63572213;98;2
63572214;98;2
63572301;97;3
63572302;98;2
63572303;98;2
63572304;98;2
63572305;98;2
63572306;98;2
63572307;98;2
63572308;99;1
63572401;98;2
63572402;100;0
63572403;99;1
63572404;97;3
63572405;98;2
63572501;99;1
63572502;98;2
63572503;98;2
63572601;99;1
63572602;98;2
63572603;97;3
63572604;99;1
63572701;98;2
63572702;99;1
63572703;99;1
63572704;98;2
63572705;99;1
63572801;97;3
63572802;98;2
63572803;97;3
63572804;96;4
63572805;98;2
63572806;99;1
63572901;98;2
63572902;97;3
63572903;97;3
63572904;97;3
63572905;100;0
63572906;98;2
63573001;98;2
63573002;97;3
63573003;97;3
63573004;98;2
63573005;97;3
63573006;97;3
63573007;100;0
63573008;98;2
63573009;97;3
63573010;98;2
63573011;99;1
63573101;98;2
63573102;97;3
63573103;100;0
