link;menor nivel educatico;porcentaje
63570101;47.86;
63570102;51.24;
63570103;45.3;
63570104;25.33;
63570105;22.22;
63570106;35.51;
63570107;32.94;
63570108;6.45;
63570109;24.9;
63570201;37.1;
63570202;9.73;
63570203;13.86;
63570204;19.24;
63570205;11.85;
63570206;11.59;
63570207;14.15;
63570208;16.32;
63570209;14.59;
63570210;15.7;
63570301;33.33;
63570302;14.04;
63570303;25.78;
63570304;31.71;
63570305;26.79;
63570306;21.71;
63570307;21.58;
63570308;16.33;
63570309;7.71;
63570310;11.03;
63570311;12.46;
63570401;22.08;
63570402;27.49;
63570403;13.75;
63570404;15.63;
63570405;18.18;
63570406;20.97;
63570407;22.64;
63570408;15.89;
63570409;13.66;
63570410;14.8;
63570501;21.08;
63570502;17.4;
63570503;23.9;
63570504;19.75;
63570505;20.53;
63570506;16.03;
63570507;12.57;
63570508;14.95;
63570509;13.99;
63570510;11.48;
63570511;12.94;
63570512;19.47;
63570513;15.65;
63570514;14.66;
63570601;36.12;
63570602;50.39;
63570603;35.63;
63570604;44.88;
63570605;48.84;
63570606;31.91;
63570607;32.12;
63570608;30.68;
63570609;31.52;
63570610;31.92;
63570611;25.61;
63570701;30.31;
63570702;24.86;
63570703;18.77;
63570704;10.75;
63570705;22.81;
63570706;39.65;
63570707;35.82;
63570708;43.82;
63570709;45.28;
63570710;53.8;
63570711;57.76;
63570801;71.87;
63570802;64.03;
63570803;59.41;
63570804;34.14;
63570805;50;
63570806;57.25;
63570807;49.37;
63570808;54.02;
63570809;48.56;
63570810;45.94;
63570811;50.68;
63570812;47.47;
63570813;37.44;
63570814;46.98;
63570901;51.19;
63570902;72.22;
63570903;70.22;
63570904;62.94;
63570905;67.66;
63570906;67.12;
63570907;69.59;
63570908;72.88;
63570909;63.85;
63570910;58.71;
63570911;49.31;
63570912;57.66;
63570913;61.72;
63571001;29.52;
63571002;17.76;
63571003;37.57;
63571004;62.71;
63571005;58.26;
63571006;45.99;
63571007;81.16;
63571008;72;
63571009;65;
63571010;64.86;
63571011;56.01;
63571012;64.43;
63571013;72.56;
63571014;67.57;
63571015;65.81;
63571101;53.55;
63571102;71.34;
63571103;53.85;
63571104;67.94;
63571105;66.14;
63571106;74.45;
63571107;70.2;
63571108;59.71;
63571109;57;
63571110;51.32;
63571111;47.02;
63571112;62.13;
63571201;57.69;
63571202;57.45;
63571203;57.14;
63571204;54.65;
63571205;50.27;
63571206;48.53;
63571207;62.86;
63571208;77.69;
63571209;69.75;
63571210;80.55;
63571211;64.29;
63571212;68.79;
63571213;73.06;
63571214;50.51;
63571215;53.76;
63571301;48.92;
63571302;47.39;
63571303;50.25;
63571304;49.57;
63571305;51.59;
63571306;55.45;
63571307;59.66;
63571308;58.99;
63571309;54.7;
63571401;50.54;
63571402;44.79;
63571403;49.05;
63571404;48.77;
63571405;41.67;
63571406;38;
63571407;49.74;
63571408;40.56;
63571409;39.75;
63571501;24.93;
63571502;31.55;
63571503;23.79;
63571504;36.57;
63571505;34.65;
63571506;45.31;
63571507;33.05;
63571508;31.92;
63571509;35.62;
63571510;40.73;
63571511;35.63;
63571601;34.96;
63571602;30.8;
63571603;28.13;
63571604;27.13;
63571605;30.35;
63571606;28.11;
63571607;21.62;
63571608;25.57;
63571609;24.18;
63571610;23.03;
63571611;25.6;
63571612;23.42;
63571613;30.85;
63571701;17.67;
63571702;16.51;
63571703;16.39;
63571704;16.08;
63571705;39.21;
63571706;20.51;
63571707;19.19;
63571708;12.45;
63571709;8.41;
63571710;11.96;
63571801;18.21;
63571802;16.32;
63571803;19.29;
63571804;21.88;
63571805;24.45;
63571806;23.14;
63571807;26.72;
63571808;26.95;
63571809;22.22;
63571810;16.43;
63571901;23.69;
63571902;21.95;
63571903;16.13;
63571904;24.69;
63571905;15.53;
63571906;23.81;
63571907;23.18;
63571908;16.83;
63571909;11.57;
63571910;14.68;
63571911;20;
63572001;15.73;
63572002;15.38;
63572003;17.34;
63572004;15.89;
63572005;12.5;
63572006;19.64;
63572007;15.33;
63572008;18.18;
63572009;16.3;
63572101;17.95;
63572102;18.08;
63572103;16.04;
63572104;29.23;
63572105;18.6;
63572106;18.37;
63572107;24.62;
63572108;15.28;
63572201;10.88;
63572202;13.64;
63572203;16.06;
63572204;15.34;
63572205;20.67;
63572206;14.88;
63572207;16.67;
63572208;23.32;
63572209;22.13;
63572210;28.32;
63572211;27.38;
63572212;15.59;
63572213;17.65;
63572214;13.24;
63572301;14.46;
63572302;17.09;
63572303;12.61;
63572304;17.9;
63572305;17.39;
63572306;17.82;
63572307;13.64;
63572308;19.64;
63572401;17.65;
63572402;22.64;
63572403;19.87;
63572404;25.17;
63572405;15.38;
63572501;21.05;
63572502;22.73;
63572503;18.38;
63572601;21.99;
63572602;22.91;
63572603;17.94;
63572604;20.36;
63572701;17.98;
63572702;19.78;
63572703;18.91;
63572704;24.54;
63572705;21.01;
63572801;29.92;
63572802;21.05;
63572803;17.61;
63572804;21.97;
63572805;19.9;
63572806;24.86;
63572901;22.15;
63572902;13.64;
63572903;21.48;
63572904;21.36;
63572905;19.61;
63572906;17.58;
63573001;20.47;
63573002;16.25;
63573003;19.48;
63573004;15.47;
63573005;17.61;
63573006;15.45;
63573007;13.08;
63573008;15.32;
63573009;14.62;
63573010;17.61;
63573011;22.17;
63573101;16.61;
63573102;24.41;
63573103;20.79;
63573104;20.72;
63573105;14.49;
63573106;21.16;
63573107;20.07;
63573108;19.76;
63573109;19.69;
63573201;22.63;
63573202;22.78;
63573203;29.92;
63573204;23.79;
63573205;18.98;
63573206;27.31;
63573207;20.35;
63573208;17.09;
63573209;17.93;
63573210;16;
63573301;23.33;
63573302;25.74;
63573303;18.42;
63573304;25.33;
63573305;20.37;
63573306;13.72;
63573307;12.36;
63573308;15.42;
63573309;16.67;
63573310;17.52;
63573311;14.12;
63573401;14.77;
63573402;12.69;
63573403;13.91;
63573404;14.01;
63573405;16.48;
63573406;18.52;
63573407;15.96;
63573408;21.43;
63573501;24.21;
63573502;21.97;
63573503;19.23;
63573504;15.82;
63573505;16.04;
63573506;20.74;
63573507;19.83;
63573508;19.05;
63573509;18.49;
63573510;18.8;
63573601;18.22;
63573602;15.71;
63573603;26.74;
63573604;19.92;
63573605;26.32;
63573701;16.04;
63573702;23.53;
63573703;13.11;
63573704;19.86;
63573705;20.1;
63573706;18.82;
63573707;15.09;
63573708;14.4;
63573801;14.04;
63573802;25.42;
63573803;20.85;
63573804;22.73;
63573901;22.06;
63573902;19.88;
63573903;23.35;
63573904;25.61;
63573905;18.84;
63573906;26.09;
63573907;23.44;
63573908;20.47;
63573909;10.89;
63574001;16.67;
63574002;36.48;
63574003;18.13;
63574004;17.39;
63574005;23.94;
63574006;23.9;
63574007;21.64;
63574008;22.63;
63574101;7.69;
63574102;13.58;
63574103;21.46;
63574104;16.99;
63574105;21.26;
63574106;8.06;
63574107;7.83;
63574201;20.25;
63574202;13.28;
63574203;12.09;
63574204;19.12;
63574205;23.36;
63574206;17.06;
63574207;13.98;
63574301;13.75;
63574302;11.24;
63574303;11.21;
63574304;8.43;
63574305;9.09;
63574306;15.53;
63574307;5.93;
63574308;10.64;
63574309;13.73;
63574310;17.71;
63574311;11.11;
63574312;8.79;
